parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,mutant
pcut,1,0.4141941040915969,0.41233582754905507,0.41491808103240985,0.33023967870387944,0.49612592399920735,0.95,12HeptA4T
pcut,1,0.01963684250602437,0.01611920360432606,0.01476366796692799,7.36313666399236e-05,0.054579944588955626,0.95,12HeptC3G
pcut,1,0.038842954903039684,0.03366087120282507,0.03352725518053852,0.0010010572133995277,0.08717308920713172,0.95,12HeptC3T
pcut,1,0.20161736217351772,0.18591757153815697,0.18833678029388032,0.03606868793053815,0.3956387372371998,0.95,12HeptG5A
pcut,1,0.2161077479972059,0.21167236131419812,0.2145760116650059,0.12922917287763985,0.30534304409276586,0.95,12HeptG5C
pcut,1,0.2767551310380317,0.2714083384396135,0.27498798975093397,0.1949829706022986,0.36619263313709083,0.95,12HeptG7A
pcut,1,0.3250275232161676,0.3151480889342114,0.3197585966070394,0.16551310113259587,0.4951752174243281,0.95,12HeptG7C
pcut,1,0.13422198967128,0.12860219274351817,0.13015105561942142,0.050993249808624075,0.22544459612563586,0.95,12HeptG7T
pcut,1,0.21939876682629392,0.15954775476582328,0.1757926451815389,0.0005795563957890877,0.5540866606564312,0.95,12HeptT6A
pcut,1,0.10413369573996466,0.016048489365508664,0.03395074978372519,6.8046777200559e-08,0.4681885269340061,0.95,12HeptT6AG7C
pcut,1,0.07353749023151204,0.06495389863148901,0.06433234816726523,0.0018726637273160304,0.16561318509607043,0.95,12HeptT6C
pcut,1,0.07275704609635161,0.014395418737391042,0.021424739738202355,6.23394328415576e-07,0.3365252679381213,0.95,12HeptT6CG7A
pcut,1,0.315069092023252,0.3131009480896152,0.3137563114959857,0.23082796738486386,0.393117821988877,0.95,12NonA1G
pcut,1,0.39062581991658885,0.37651937262309465,0.3878946022196316,0.1757424219964387,0.5973683849411164,0.95,12NonA3C
pcut,1,0.23829320634268947,0.23268520676969906,0.23344036724791647,0.11265271519955154,0.36425298588722155,0.95,12NonA4C
pcut,1,0.4332958123082499,0.4129319656491771,0.4242073003337956,0.19395893075381984,0.6841014480698379,0.95,12NonA4T
